skip_window?,delete too close?,delete low variance?,kind,window size,filter,data set,sensor,repetitions,segmentation points,old / preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_11.17.39,RightArm,24,85,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_11.17.39,LeftArm,24,91,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_11.17.39,Chest,24,71,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_11.17.39,Belly,24,69,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_12.50.00,RightArm,20,96,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_12.50.00,LeftArm,20,108,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_12.50.00,Belly,20,69,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_12.50.00,Chest,20,75,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_13.00.09,LeftArm,15,76,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_13.00.09,RightArm,15,75,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_13.00.09,Belly,15,58,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_13.00.09,Chest,15,51,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.07.33,Belly,26,62,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.07.33,RightArm,26,66,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.07.33,Chest,26,57,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.07.33,LeftArm,26,64,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.14.32,Belly,22,50,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.14.32,RightArm,22,57,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.14.32,Chest,22,49,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.14.32,LeftArm,22,59,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.20.28,Belly,18,37,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.20.28,Chest,18,38,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.20.28,RightArm,18,46,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.20.28,LeftArm,18,56,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.59.59,Chest,10,61,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.59.59,LeftArm,10,57,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.59.59,RightArm,10,56,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_14.59.59,Belly,10,62,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_15.13.22,RightArm,16,101,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_15.13.22,LeftArm,16,93,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_15.13.22,Chest,16,88,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_15.13.22,Belly,16,83,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_15.31.36,Belly,18,83,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_15.31.36,LeftArm,18,95,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_15.31.36,Chest,18,91,preprocessed
false,false,false,Both,101,MovingAverage,2020-07-02_15.31.36,RightArm,18,99,preprocessed
false,false,false,Both,101,MovingAverage,Andre_Squats2_13_10_2020,Chest,49,191,preprocessed
false,false,false,Both,101,MovingAverage,Andre_Squats2_13_10_2020,Belly,49,212,preprocessed
false,false,false,Both,101,MovingAverage,Andre_Squats2_13_10_2020,LeftArm,49,253,preprocessed
false,false,false,Both,101,MovingAverage,Andre_Squats2_13_10_2020,RightArm,49,247,preprocessed
false,false,false,Both,101,MovingAverage,Andre_Squats_13_10_2020,RightArm,30,132,preprocessed
false,false,false,Both,101,MovingAverage,Andre_Squats_13_10_2020,LeftArm,30,122,preprocessed
false,false,false,Both,101,MovingAverage,Andre_Squats_13_10_2020,Belly,30,131,preprocessed
false,false,false,Both,101,MovingAverage,Andre_Squats_13_10_2020,Chest,30,122,preprocessed
false,false,false,Both,101,MovingAverage,Andre_liegestuetzen1_13_10_2020,RightArm,27,61,preprocessed
false,false,false,Both,101,MovingAverage,Andre_liegestuetzen1_13_10_2020,Chest,27,60,preprocessed
false,false,false,Both,101,MovingAverage,Andre_liegestuetzen1_13_10_2020,Belly,27,62,preprocessed
false,false,false,Both,101,MovingAverage,Andre_liegestuetzen1_13_10_2020,LeftArm,27,63,preprocessed
false,false,false,Both,101,MovingAverage,Andre_liegestuetzen2_13_10_2020,Chest,20,48,preprocessed
false,false,false,Both,101,MovingAverage,Andre_liegestuetzen2_13_10_2020,Belly,20,50,preprocessed
false,false,false,Both,101,MovingAverage,Andre_liegestuetzen2_13_10_2020,LeftArm,20,51,preprocessed
false,false,false,Both,101,MovingAverage,Andre_liegestuetzen2_13_10_2020,RightArm,20,52,preprocessed
false,false,false,Both,101,MovingAverage,Andre_liegestuetzen3_13_10_2020,Belly,17,45,preprocessed
false,false,false,Both,101,MovingAverage,Andre_liegestuetzen3_13_10_2020,RightArm,17,48,preprocessed
false,false,false,Both,101,MovingAverage,Andre_liegestuetzen3_13_10_2020,Chest,17,44,preprocessed
false,false,false,Both,101,MovingAverage,Andre_liegestuetzen3_13_10_2020,LeftArm,17,50,preprocessed
false,false,false,Both,101,MovingAverage,Jan_liegestuetzen1_13_10_2020_edited,LeftArm,25,72,preprocessed
false,false,false,Both,101,MovingAverage,Jan_liegestuetzen1_13_10_2020_edited,RightArm,25,82,preprocessed
false,false,false,Both,101,MovingAverage,Jan_liegestuetzen1_13_10_2020_edited,Chest,25,79,preprocessed
false,false,false,Both,101,MovingAverage,Jan_liegestuetzen1_13_10_2020_edited,Belly,25,77,preprocessed
false,false,false,Both,101,MovingAverage,Jan_liegestuetzen2_13_10_2020,LeftArm,19,59,preprocessed
false,false,false,Both,101,MovingAverage,Jan_liegestuetzen2_13_10_2020,Belly,19,55,preprocessed
false,false,false,Both,101,MovingAverage,Jan_liegestuetzen2_13_10_2020,Chest,19,59,preprocessed
false,false,false,Both,101,MovingAverage,Jan_liegestuetzen2_13_10_2020,RightArm,19,57,preprocessed
false,false,false,Both,101,MovingAverage,Jan_liegestuetzen3_13_10_2020,LeftArm,13,39,preprocessed
false,false,false,Both,101,MovingAverage,Jan_liegestuetzen3_13_10_2020,Chest,13,40,preprocessed
false,false,false,Both,101,MovingAverage,Jan_liegestuetzen3_13_10_2020,Belly,13,36,preprocessed
false,false,false,Both,101,MovingAverage,Jan_liegestuetzen3_13_10_2020,RightArm,13,37,preprocessed
false,false,false,Both,101,MovingAverage,Lukas_liegestuetzen1_13_10_2020,Chest,24,54,preprocessed
false,false,false,Both,101,MovingAverage,Lukas_liegestuetzen1_13_10_2020,RightArm,24,55,preprocessed
false,false,false,Both,101,MovingAverage,Lukas_liegestuetzen1_13_10_2020,LeftArm,24,56,preprocessed
false,false,false,Both,101,MovingAverage,Lukas_liegestuetzen1_13_10_2020,Belly,24,56,preprocessed
